PERIODO,NUM_ORDEN,DEPARTAMENTO,DIVISION,INSPECTOR,SUPERVISOR,CUIT,RAZON_SOCIAL,FECHA_INICIO,FECHA_DEVOL_TRANS
1 TRIM 2014,1,EXTERNA E,II,TRACCHIA EDUARDO,ARFUSO VIVIANA,33696130189,07 B A TEX SRL,29/04/2013,
1 TRIM 2015,1,EXTERNA E,I,CRESPO ARIEL,PATANE ALICIA,30710240244,1001 FARDO SRL,23/09/2014,
2 TRIM 2015,1,EXTERNA E,I,CRESPO ARIEL,PATANE ALICIA,30710240244,1001 FARDO SRL,23/09/2014,
3 TRIM 2014,1,EXTERNA E,I,CRESPO ARIEL,PATANE ALICIA,30710240244,1001 FARDO SRL,23/09/2014,
3 TRIM 2015,1,EXTERNA E,I,CRESPO ARIEL,PATANE ALICIA,30710240244,1001 FARDO SRL,01/10/2014,
4 TRIM 2014,1,EXTERNA E,I,CRESPO ARIEL,PATANE ALICIA,30710240244,1001 FARDO SRL,23/09/2014,
1 TRIM 2014,2,EXTERNA D,SELLOS,SILEO ANALIA,MERA ANDREA,30711252440,151 SRL,26/07/2013,
2 TRIM 2014,1,EXTERNA D,SELLOS,SILEO ANALIA,MERA ANDREA,30711252440,151 SRL,26/07/2013,
1 TRIM 2015,2,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,CARDONE MARIANO,ALVAREZ PABLO,33707083129,24 HORAS SA,27/03/2015,
2 TRIM 2015,2,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,CARDONE MARIANO,ALVAREZ PABLO,33707083129,24 HORAS SA,27/03/2015,
3 TRIM 2015,2,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,CARDONE MARIANO,ZOCCALI JOSE LUIS,33707083129,25 HORAS SA,27/03/2015,
1 TRIM 2014,3,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,
1 TRIM 2015,3,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,
2 TRIM 2014,2,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,
3 TRIM 2014,2,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,
3 TRIM 2015,3,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,19/08/2015
4 TRIM 2014,2,EXTERNA D,SELLOS,LANFRANCO PABLO,ALFARO NADIA,30529994393,3M ARGENTINA SACIFIA,23/12/2013,
